"","title","author","subject","abstract","meta"
"40","The Impact of Cometary 'impacts' on the Chemistry, Climate, and Spectra of Hot Jupiter Atmospheres","Felix Sainsbury-Martinez, Catherine Walsh","Earth and Planetary Astrophysics (astro-ph.EP)","Impacts from icy and rocky bodies have helped shape the composition of solar system objects, for example the Earth-Moon system, or the recent impact of comet Shoemaker-Levy 9 with Jupiter. It is likely that such impacts also shape the composition of exoplanetary systems. Here we investigate how cometary impacts might affect the atmospheric composition/chemistry of hot Jupiters, which are prime targets for characterisation. We introduce a parametrised cometary impact model that includes thermal ablation and pressure driven breakup, which we couple with the 1D `radiative-convective' atmospheric model ATMO, including disequilibrium chemistry. We use this model to investigate a wide range of impactor masses and compositions, including those based on observations of Solar System comets, and interstellar ices (with JWST). We find that even a small impactor (R = 2.5 km) can lead to significant short-term changes in the atmospheric chemistry, including a factor $>10$ enhancement in H$_2$O, CO, CO$_2$ abundances, and atmospheric opacity more generally, and the near complete removal of observable hydrocarbons, such as CH$_4$, from the upper atmosphere. These effects scale with the change in atmospheric C/O ratio and metallicity. Potentially observable changes are possible for a body that has undergone significant/continuous bombardment, such that the global atmospheric chemistry has been impacted. Our works reveals that cometary impacts can significantly alter or pollute the atmospheric composition/chemistry of hot Jupiters. These changes have the potential to mute/break the proposed link between atmospheric C/O ratio and planet formation location relative to key snowlines in the natal protoplanetary disc.","Thu, 8 Feb 2024 09:39:42 UTC (10,150 KB)"
"41","Sustainable allocation of greenhouse gas emission permits for firms with Leontief technologies","Elisabeth Gutierrez, Natividad Llorca, Joaquin Sanchez-Soriano, Manuel A. Mosquera","Computer Science and Game Theory (cs.GT)","In this paper we deal with production situations where a cap or limit to the amount of greenhouse gas emissions permitted is imposed. Fixing a tax for each ton of pollutant emitted is also considered. We use bankruptcy rules to define cooperative games with externalities associated with these situations and analyze the existence of coalitionally stable allocations of the emission permits. We prove that the constrained equal awards ( CEA ) rule provides stable allocations and as a direct mechanism, it is incentive compatible. These two facts have interesting managerial implications to control pollution emissions.","Thu, 8 Feb 2024 09:12:11 UTC (255 KB)"
"42","cecilia: A Machine Learning-Based Pipeline for Measuring Metal Abundances of Helium-rich Polluted White Dwarfs","M. Badenas-Agusti, J. Viaña, A. Vanderburg, S. Blouin, P. Dufour, S. Xu, L. Sha","Instrumentation and Methods for Astrophysics (astro-ph.IM)","Over the past several decades, conventional spectral analysis techniques of polluted white dwarfs have become powerful tools to learn about the geology and chemistry of extrasolar bodies. Despite their proven capabilities and extensive legacy of scientific discoveries, these techniques are however still limited by their manual, time-intensive, and iterative nature. As a result, they are susceptible to human errors and are difficult to scale up to population-wide studies of metal pollution. This paper seeks to address this problem by presenting cecilia, the first Machine Learning (ML)-powered spectral modeling code designed to measure the metal abundances of intermediate-temperature (10,000$\leq T_{\rm eff} \leq$20,000 K), Helium-rich polluted white dwarfs. Trained with more than 22,000 randomly drawn atmosphere models and stellar parameters, our pipeline aims to overcome the limitations of classical methods by replacing the generation of synthetic spectra from computationally expensive codes and uniformly spaced model grids, with a fast, automated, and efficient neural-network-based interpolator. More specifically, cecilia combines state-of-the-art atmosphere models, powerful artificial intelligence tools, and robust statistical techniques to rapidly generate synthetic spectra of polluted white dwarfs in high-dimensional space, and enable accurate ($\lesssim$0.1 dex) and simultaneous measurements of 14 stellar parameters -- including 11 elemental abundances -- from real spectroscopic observations. As massively multiplexed astronomical surveys begin scientific operations, cecilia's performance has the potential to unlock large-scale studies of extrasolar geochemistry and propel the field of white dwarf science into the era of Big Data. In doing so, we aspire to uncover new statistical insights that were previously impractical with traditional white dwarf characterisation techniques.","Wed, 7 Feb 2024 19:00:02 UTC (7,183 KB)"
"43","Quantifying Population Exposure to Long-term PM10: A City-wide Agent-based Assessment","Hyesop Shin","Multiagent Systems (cs.MA)","This study evaluates the health effects of long-term exposure to PM10 in Seoul. Building on the preliminary model Shin and Bithell (2019), an in-silico agent-based model (ABM) is used to simulate the travel patterns of individuals according to their origins and destinations. During the simulation, each person, with their inherent socio-economic attributes and allocated origin and destination location, is assumed to commute to and from the same places for 10 consecutive years. A nominal measure of their health is set to decrease whenever the concentration of PM10 exceeds the national standard. Sensitivity analysis on calibrated parameters reveals increased vulnerability among certain demographic groups, particularly those aged over 65 and under 15, with a significant health decline associated with road proximity. The study reveals a substantial health disparity after 7,000 simulation ticks (equivalent to 10 years), especially under scenarios of a 3% annual increase in pollution levels. Long-term exposure to PM10 has a significant impact on health vulnerabilities, despite initial resilience being minimal. The study emphasises the importance of future research that takes into account different pollution thresholds as well as more detailed models of population dynamics and pollution generation in order to better understand and mitigate the health effects of air pollution on diverse urban populations.","Wed, 7 Feb 2024 16:56:45 UTC (5,246 KB)"
"44","Topological relations in water quality monitoring","Bruno Chaves Figueiredo, Maria Alexandra Oliveira, João Nuno Silva","Databases (cs.DB)","The Alqueva Multi-Purpose Project (EFMA) is a massive abduction and storage infrastructure system in the Alentejo, which has a water quality monitoring network with almost thousands of water quality stations distributed across three subsystems: Alqueva, Pedrogão, and Ardila. Identification of pollution sources in complex infrastructure systems, such as the EFMA, requires recognition of water flow direction and delimitation of areas being drained to specific sampling points. The transfer channels in the EFMA infrastructure artificially connect several water bodies that do not share drainage basins, which further complicates the interpretation of water quality data because the water does not flow exclusively downstream and is not restricted to specific basins. The existing user-friendly GIS tools do not facilitate the exploration and visualisation of water quality data in spatial-temporal dimensions, such as defining temporal relationships between monitoring campaigns, nor do they allow the establishment of topological and hydrological relationships between different sampling points. This thesis work proposes a framework capable of aggregating many types of information in a GIS environment, visualising large water quality-related datasets and, a graph data model to integrate and relate water quality between monitoring stations and land use. The graph model allows to exploit the relationship between water quality in a watercourse and reservoirs associated with infrastructures. The graph data model and the developed framework demonstrated encouraging results and has proven to be preferred when compared to relational databases.","Wed, 7 Feb 2024 14:22:17 UTC (644 KB)"
"45","Controlling Moisture for Enhanced Ozone Decomposition: A Study of Water Effects on CeO$_2$ Surfaces and Catalytic Activity","Suchitra Gupta, Joon Hwan Choi, Hojin Jeong, Seung-Cheol Lee, Satadeep Bhattacharjee","Materials Science (cond-mat.mtrl-sci)","This study investigates the catalytic degradation of ground-level ozone on low-index stoichiometric and reduced CeO$_2$ surfaces using first-principles calculations. The presence of oxygen vacancies on the surface enhances the interaction between ozone and catalyst by serving as active sites for adsorption and decomposition. Our results suggest that the {111} surface has superior ozone decomposition performance due to unstable oxygen species resulting from reaction with catalysts. However, when water is present, it competes with ozone molecules for these active sites, resulting in reduced catalytic activity or water poisoning. A possible solution could be heat treatment that reduces the vacancy concentration, thereby increasing the available adsorption sites for ozone molecules while minimizing competitive adsorption by water molecules. These results suggest that controlling moisture content during operation is crucial for the efficient use of CeO$_2$-based catalysts in industrial applications to reduce ground-level ozone pollution.","Wed, 7 Feb 2024 03:43:19 UTC (6,100 KB)"
"46","Consistent Validation for Predictive Methods in Spatial Settings","David R. Burt, Yunyi Shen, Tamara Broderick","Machine Learning (stat.ML)","Spatial prediction tasks are key to weather forecasting, studying air pollution, and other scientific endeavors. Determining how much to trust predictions made by statistical or physical methods is essential for the credibility of scientific conclusions. Unfortunately, classical approaches for validation fail to handle mismatch between locations available for validation and (test) locations where we want to make predictions. This mismatch is often not an instance of covariate shift (as commonly formalized) because the validation and test locations are fixed (e.g., on a grid or at select points) rather than i.i.d. from two distributions. In the present work, we formalize a check on validation methods: that they become arbitrarily accurate as validation data becomes arbitrarily dense. We show that classical and covariate-shift methods can fail this check. We instead propose a method that builds from existing ideas in the covariate-shift literature, but adapts them to the validation data at hand. We prove that our proposal passes our check. And we demonstrate its advantages empirically on simulated and real data.","Mon, 5 Feb 2024 21:33:22 UTC (8,725 KB)"
"47","Assessing the Efficacy of Invisible Watermarks in AI-Generated Medical Images","Xiaodan Xing, Huiyu Zhou, Yingying Fang, Guang Yang","Image and Video Processing (eess.IV)","AI-generated medical images are gaining growing popularity due to their potential to address the data scarcity challenge in the real world. However, the issue of accurate identification of these synthetic images, particularly when they exhibit remarkable realism with their real copies, remains a concern. To mitigate this challenge, image generators such as DALLE and Imagen, have integrated digital watermarks aimed at facilitating the discernment of synthetic images' authenticity. These watermarks are embedded within the image pixels and are invisible to the human eye while remains their detectability. Nevertheless, a comprehensive investigation into the potential impact of these invisible watermarks on the utility of synthetic medical images has been lacking. In this study, we propose the incorporation of invisible watermarks into synthetic medical images and seek to evaluate their efficacy in the context of downstream classification tasks. Our goal is to pave the way for discussions on the viability of such watermarks in boosting the detectability of synthetic medical images, fortifying ethical standards, and safeguarding against data pollution and potential scams.","Mon, 5 Feb 2024 19:32:10 UTC (3,264 KB)[v2] Thu, 8 Feb 2024 10:30:53 UTC (3,264 KB)"
"48","Electrostatic Disturbances of Aerosol Atmospheric Plasma: Beaded Lightning","N.I. Izhovkina, S.N. Artekha, N.S. Erokhin, L.A. Mikhailovskaya","Plasma Physics (physics.plasm-ph)","Numerous sources produce the ionization impact on the planetary atmosphere. The tropospheric cloudiness therewith is originated at such altitudes, which coincide with places of the maximum of the atmospheric ionization that caused by space radiation. Components of cosmic radiation, penetrating down to the stratospheric and tropospheric altitudes, produce in the first place the ionization of aerosols that brings to subsequent amplifying the activity of atmospheric vortices. The ionized aerosol constituent is of primary importance both in the initiation of plasma vortices and in the concentration of energy-mass by air vortices due to the humidity condensation. The ionization process is cascading, that causes the non-linear impact of penetrating rays, which amplifying with growing the air pollution. Various heterogeneities inside plasma subsystems provoke the random intensification of aperiodic electrostatic disturbances, which can exert a significant action on the development of vortices. Sometimes beaded lightning arises during thunderstorm. Using the approach of the Boltzmann kinetic equation, the characteristics of electrostatic oscillations for non-uniform plasma, are analytically derived. The analytical expressions are obtained for non-magnetized plasma. In the limits of the Earth's atmosphere, these solutions are strictly applicable to the origination of electrostatic modulations along the lines of force of the geomagnetic field and approximately applicable in cases, when the impact of the Earth's magnetic field is negligible. The explicit expressions are deduced both in the hot plasma approximation and in the cold plasma approximation. It is demonstrated that the formation of chain elements of discharge in hot inhomogeneous plasma is defined by the nonmonotonic distribution of charges and fields. At such conditions, the irregularities breaks up into a cellular structure.","Mon, 5 Feb 2024 12:36:25 UTC (393 KB)"
"49","State estimation of urban air pollution with statistical, physical, and super-learning graph models","Matthieu Dolbeault, Olga Mula, Agustín Somacal","Machine Learning (cs.LG)","We consider the problem of real-time reconstruction of urban air pollution maps. The task is challenging due to the heterogeneous sources of available data, the scarcity of direct measurements, the presence of noise, and the large surfaces that need to be considered. In this work, we introduce different reconstruction methods based on posing the problem on city graphs. Our strategies can be classified as fully data-driven, physics-driven, or hybrid, and we combine them with super-learning models. The performance of the methods is tested in the case of the inner city of Paris, France.","Mon, 5 Feb 2024 08:42:39 UTC (4,722 KB)"
"50","Using Deep Ensemble Forest for High Resolution Mapping of PM2.5 from MODIS MAIAC AOD in Tehran, Iran","Hossein Bagheri","Machine Learning (cs.LG)","High resolution mapping of PM2.5 concentration over Tehran city is challenging because of the complicated behavior of numerous sources of pollution and the insufficient number of ground air quality monitoring stations. Alternatively, high resolution satellite Aerosol Optical Depth (AOD) data can be employed for high resolution mapping of PM2.5. For this purpose, different data-driven methods have been used in the literature. Recently, deep learning methods have demonstrated their ability to estimate PM2.5 from AOD data. However, these methods have several weaknesses in solving the problem of estimating PM2.5 from satellite AOD data. In this paper, the potential of the deep ensemble forest method for estimating the PM2.5 concentration from AOD data was evaluated. The results showed that the deep ensemble forest method with R2 = 0.74 gives a higher accuracy of PM2.5 estimation than deep learning methods (R2 = 0.67) as well as classic data-driven methods such as random forest (R2 = 0.68). Additionally, the estimated values of PM2.5 using the deep ensemble forest algorithm were used along with ground data to generate a high resolution map of PM2.5. Evaluation of the produced PM2.5 map revealed the good performance of the deep ensemble forest for modeling the variation of PM2.5 in the city of Tehran.","Sat, 3 Feb 2024 13:01:39 UTC (8,006 KB)"
"51","Community-based Behavioral Understanding of Crisis Activity Concerns using Social Media Data: A Study on the 2023 Canadian Wildfires in New York City","Khondhaker Al Momin, Md Sami Hasnine, Arif Mohaimin Sadri","Computers and Society (cs.CY)","New York City (NYC) topped the global chart for the worst air pollution in June 2023, owing to the wildfire smoke drifting in from Canada. This unprecedented situation caused significant travel disruptions and shifts in traditional activity patterns of NYC residents. This study utilized large-scale social media data to study different crisis activity concerns (i.e., evacuation, staying indoors, shopping, and recreational activities among others) in the emergence of the 2023 Canadian wildfire smoke in NYC. In this regard, one week (June 02 through June 09, 2023) geotagged Twitter data from NYC were retrieved and used in the analysis. The tweets were processed using advanced text classification techniques and later integrated with national databases such as Social Security Administration data, Census, and American Community Survey. Finally, a model has been developed to make community inferences of different activity concerns in a major wildfire. The findings suggest, during wildfires, females are less likely to engage in discussions about evacuation, trips for medical, social, or recreational purposes, and commuting for work, likely influenced by workplaces maintaining operations despite poor air quality. There were also racial disparities in these discussions, with Asians being more likely than Hispanics to discuss evacuation and work commute, and African Americans being less likely to discuss social and recreational activities. Additionally, individuals from low-income neighborhoods and non-higher education students expressed fewer concerns about evacuation. This study provides valuable insights for policymakers, emergency planners, and public health officials, aiding them in formulating targeted communication strategies and equitable emergency response plans.","Mon, 22 Jan 2024 06:57:45 UTC (593 KB)"
"52","Leveraging Social Media Data to Identify Factors Influencing Public Attitude Towards Accessibility, Socioeconomic Disparity and Public Transportation","Khondhaker Al Momin, Arif Mohaimin Sadri, Md Sami Hasnine","Computers and Society (cs.CY)","This study proposes a novel method to understand the factors affecting individuals' perception of transport accessibility, socioeconomic disparity, and public infrastructure. As opposed to the time consuming and expensive survey-based approach, this method can generate organic large-scale responses from social media and develop statistical models to understand individuals' perceptions of various transportation issues. This study retrieved and analyzed 36,098 tweets from New York City from March 19, 2020, to May 15, 2022. A state-of-the-art natural language processing algorithm is used for text mining and classification. A data fusion technique has been adopted to generate a series of socioeconomic traits that are used as explanatory variables in the model. The model results show that females and individuals of Asian origin tend to discuss transportation accessibility more than their counterparts, with those experiencing high neighborhood traffic also being more vocal. However, disadvantaged individuals, including the unemployed and those living in low-income neighborhoods or in areas with high natural hazard risks, tend to communicate less about such issues. As for socioeconomic disparity, individuals of Asian origin and those experiencing various types of air pollution are more likely to discuss these topics on Twitter, often with a negative sentiment. However, unemployed, or disadvantaged individuals, as well as those living in areas with high natural hazard risks or expected losses, are less inclined to tweet about this subject. Lack of internet accessibility could be a reason why many disadvantaged individuals do not tweet about transport accessibility and subsidized internet could be a possible solution.","Mon, 22 Jan 2024 06:51:29 UTC (857 KB)"
"53","Active Support of Inverters for Improving Short-Term Voltage Security in 100% IBRsPenetrated Power Systems","Yinhong Lin, Bin Wang, Qinglai Guo, Haotian Zhao, Hongbin Sun","Systems and Control (eess.SY)","Due to the energy crisis and environmental pollution, the installed capacity of inverter-based resources (IBRs) in power grids is rapidly increasing, and grid-following control (GFL) is the most prevalent at present. Meanwhile, grid-forming control-based (GFM) devices have been installed in the grid to provide active support for frequency and voltage. In the future GFL devices combined with GFM will be promising, especially in power systems with high penetration or 100% IBRs. When a short-circuit fault occurs in the grid, the controlled current source characteristic of the GFL devices leads to insufficient dynamic voltage support (DVS), while the GFM devices usually reduce the internal voltage to limit the current. Thus, deep voltage sags and undesired disconnections of IBRs may occur. Moreover, due to the dispersed locations and the control strategies' diversity of IBRs, the voltage support of different devices may not be fully coordinated, which is not conducive to short-term voltage security (STVS). To address this issue, a control scheme based on the simulation of transient characteristics of synchronous machines (SMs) is proposed. Then, a new fault ride-through strategy (FRT) is proposed based on the characteristic differences between GFL and GFM devices, and an optimization model of multi-device control parameters is formulated to meet the short-term voltage security constraints (SVSCs) and device capacity constraints. Finally, a fast solution method based on analytical modeling is proposed for the model. Test results based on the doublegenerator-one-load system, the IEEE 14-bus system, and other systems of different sizes show that the proposed method can effectively enhance the active support capability of GFL and GFM to the grid voltage, and avoid the large-scale disconnection of IBRs","Fri, 2 Feb 2024 16:09:47 UTC (1,251 KB)"
"54","Target inductive methods for zero-shot regression","Miriam Fdez-Díaz, José Ramón Quevedo, Elena Montañés","Machine Learning (cs.LG)","This research arises from the need to predict the amount of air pollutants in meteorological stations. Air pollution depends on the location of the stations (weather conditions and activities in the surroundings). Frequently, the surrounding information is not considered in the learning process. This information is known beforehand in the absence of unobserved weather conditions and remains constant for the same station. Considering the surrounding information as side information facilitates the generalization for predicting pollutants in new stations, leading to a zero-shot regression scenario. Available methods in zero-shot typically lean towards classification, and are not easily extensible to regression. This paper proposes two zero-shot methods for regression. The first method is a similarity based approach that learns models from features and aggregates them using side information. However, potential knowledge of the feature models may be lost in the aggregation. The second method overcomes this drawback by replacing the aggregation procedure and learning the correspondence between side information and feature-induced models, instead. Both proposals are compared with a baseline procedure using artificial datasets, UCI repository communities and crime datasets, and the pollutants. Both approaches outperform the baseline method, but the parameter learning approach manifests its superiority over the similarity based method.","Fri, 2 Feb 2024 09:19:45 UTC (5,665 KB)"
"55","EU-28's progress towards the 2020 renewable energy share. A club convergence analysis","María José Presno, Manuel Landajo","Econometrics (econ.EM)","This paper assesses the convergence of the EU-28 countries towards their common goal of 20% in the renewable energy share indicator by year 2020. The potential presence of clubs of convergence towards different steady state equilibria is also analyzed from both the standpoints of global convergence to the 20% goal and specific convergence to the various targets assigned to Member States. Two clubs of convergence are detected in the former case, each corresponding to different RES targets. A probit model is also fitted with the aim of better understanding the determinants of club membership, that seemingly include real GDP per capita, expenditure on environmental protection, energy dependence, and nuclear capacity, with all of them having statistically significant effects. Finally, convergence is also analyzed separately for the transport, heating and cooling, and electricity sectors.","Thu, 1 Feb 2024 17:21:52 UTC (753 KB)"
"56","Determination of Trace Organic Contaminant Concentration via Machine Classification of Surface-Enhanced Raman Spectra","Vishnu Jayaprakash, Jae Bem You, Chiranjeevi Kanike, Jinfeng Liu, Christopher McCallum, Xuehua Zhang","Machine Learning (cs.LG)","Accurate detection and analysis of traces of persistent organic pollutants in water is important in many areas, including environmental monitoring and food quality control, due to their long environmental stability and potential bioaccumulation. While conventional analysis of organic pollutants requires expensive equipment, surface enhanced Raman spectroscopy (SERS) has demonstrated great potential for accurate detection of these contaminants. However, SERS analytical difficulties, such as spectral preprocessing, denoising, and substrate-based spectral variation, have hindered widespread use of the technique. Here, we demonstrate an approach for predicting the concentration of sample pollutants from messy, unprocessed Raman data using machine learning. Frequency domain transform methods, including the Fourier and Walsh Hadamard transforms, are applied to sets of Raman spectra of three model micropollutants in water (rhodamine 6G, chlorpyrifos, and triclosan), which are then used to train machine learning algorithms. Using standard machine learning models, the concentration of sample pollutants are predicted with more than 80 percent cross-validation accuracy from raw Raman data. cross-validation accuracy of 85 percent was achieved using deep learning for a moderately sized dataset (100 spectra), and 70 to 80 percent cross-validation accuracy was achieved even for very small datasets (50 spectra). Additionally, standard models were shown to accurately identify characteristic peaks via analysis of their importance scores. The approach shown here has the potential to be applied to facilitate accurate detection and analysis of persistent organic pollutants by surface-enhanced Raman spectroscopy.","Wed, 31 Jan 2024 21:49:40 UTC (3,403 KB)"
"57","Development of biochar molecular models with controlled porosity","Audrey Ngambia, Ondřej Mašek, Valentina Erastova","Materials Science (cond-mat.mtrl-sci)","Biochars are an exciting class of environmental materials with a wide range of applications, including carbon storage and sequestration, soil enhancement, and pollution remediation. However, the limited knowledge of their molecular structures and compositions and the lack of comprehensive understanding of the relationship between these structures and biochars' diverse functionality, is hindering advancements in their development. In this work, we further advance the approach, first introduced by Wood et al. (2023), to constructing biochar molecular models; and now include control of microporosity (pores < 2 nm size) within the developed models. We construct biochar models representative of woody biochars which are experimentally produced at 600 -- 650 oC highest heating temperatures. Our models reproduce experimental H/C and O/C atomic ratios, percentage aromatic carbon, true density, cumulative porosity, and pore size distribution. The development of microporous biochar molecular models allows us to identify the importance of chemical structures involved in the assembly of biochar materials, and describe the relationship between these structures and obtained micropores. To facilitate other researchers integrating our approach into their work, we detail the steps taken, including the tests and reasons for each decision, in the construction of the biochar models. Furthermore, we share our developed molecular models in a format that can be easily integrated into other group's work in the form of molecular dynamics simulations.","Tue, 30 Jan 2024 20:10:02 UTC (28,770 KB)"
"58","Causal Analysis of Air Pollution Mixtures: Estimands, Positivity, and Extrapolation","Joseph Antonelli, Corwin Zigler","Methodology (stat.ME)","Causal inference for air pollution mixtures is an increasingly important issue with appreciable challenges. When the exposure is a multivariate mixture, there are many exposure contrasts that may be of nominal interest for causal effect estimation, but the complex joint mixture distribution often renders observed data extremely limited in their ability to inform estimates of many commonly-defined causal effects. We use potential outcomes to 1) define causal effects of air pollution mixtures, 2) formalize the key assumption of mixture positivity required for estimation and 3) offer diagnostic metrics for positivity violations in the mixture setting that allow researchers to assess the extent to which data can actually support estimation of mixture effects of interest. For settings where there is limited empirical support, we redefine causal estimands that apportion causal effects according to whether they can be directly informed by observed data versus rely entirely on model extrapolation, isolating key sources of information on the causal effect of an air pollution mixture. The ideas are deployed to assess the ability of a national United States data set on the chemical components of ambient particulate matter air pollution to support estimation of a variety of causal mixture effects.","Tue, 30 Jan 2024 19:10:37 UTC (114 KB)"
"59","Assessing Public Perception of Car Automation in Iran: Acceptance and Willingness to Pay for Adaptive Cruise Control","Sina Sahebi, Sahand Heshami, Mohammad Khojastehpour, Ali Rahimi, Mahyar Mollajani","General Economics (econ.GN)","Adaptive cruise control (ACC) is a technology that can reduce fuel consumption and air pollution in the automotive industry. However, its availability in Iran is low compared to industrialized countries. This study examines the acceptance and willingness to pay (WTP) for ACC among Iranian drivers. Data from an online survey of 453 respondents were analyzed using the Technology Acceptance Model (TAM) and an ordered logit model. The results show that perceived ease of use and perceived usefulness affect attitudes toward using ACC, which in turn influence behavioral intentions. The logit model also shows that drivers who find ACC easy and useful, who have higher vehicle prices, and who are women with cruise control (CC) experience are more likely to pay for ACC. To increase the adoption of ACC in Iran, it is suggested to target early adopters, especially women and capitalists, who can influence others with their positive feedback. The benefits of ACC for traffic safety and environmental sustainability should also be emphasized.","Mon, 29 Jan 2024 19:28:42 UTC (555 KB)"
"60","Variation in Patterns of Metal Accumulation in Thallus Parts of Lessonia trabeculata (Laminariales; Phaeophyceae): Implications for Biomonitoring","C. A. Saez, M. G. Lobos, E. C. Macaya, D. Oliva, W. Quiroz, M. T. Brown","Other Quantitative Biology (q-bio.OT)","Seaweeds are well known to concentrate metals from seawater and have been employed as monitors of metal pollution in coastal waters and estuaries. However, research showing that various intrinsic and extrinsic factors can influence metal accumulation, raises doubts about the basis for using seaweeds in biomonitoring programmes. The thallus of brown seaweeds of the order Laminariales (kelps) is morphologically complex but there is limited information about the variation in metal accumulation between the different parts, which might result in erroneous conclusions being drawn if not accounted for in the biomonitoring protocol. To assess patterns of individual metals in the differentiated parts of the thallus (blade, stipe, holdfast), concentrations of a wide range of essential and non-essential metals (Fe, Cr, Cu, Zn, Mn, Pb, Cd, Ni and Al) were measured in the kelp Lessonia trabeculata. Seaweeds were collected from three sampling stations located at 5, 30 and 60 m from an illegal sewage outfall close to Ventanas, Chile and from a pristine location at Faro Curaumilla. For the majority of metals the highest concentrations in bottom sediment and seaweed samples were found at the site closest to the outfall, with concentrations decreasing with distance from the outfall and at control stations; the exception was Cd, concentrations of which were higher at control stations. The patterns of metal concentrations in different thallus parts were metal specific and independent of sampling station. These results and the available literature suggest that biomonitoring of metals using seaweeds must take account of differences in the accumulation of metals in thallus parts of complex seaweeds","Wed, 24 Jan 2024 16:52:57 UTC (1,275 KB)"
"61","Multi-modal Representation Learning for Cross-modal Prediction of Continuous Weather Patterns from Discrete Low-Dimensional Data","Alif Bin Abdul Qayyum, Xihaier Luo, Nathan M. Urban, Xiaoning Qian, Byung-Jun Yoon","Machine Learning (cs.LG)","World is looking for clean and renewable energy sources that do not pollute the environment, in an attempt to reduce greenhouse gas emissions that contribute to global warming. Wind energy has significant potential to not only reduce greenhouse emission, but also meet the ever increasing demand for energy. To enable the effective utilization of wind energy, addressing the following three challenges in wind data analysis is crucial. Firstly, improving data resolution in various climate conditions to ensure an ample supply of information for assessing potential energy resources. Secondly, implementing dimensionality reduction techniques for data collected from sensors/simulations to efficiently manage and store large datasets. Thirdly, extrapolating wind data from one spatial specification to another, particularly in cases where data acquisition may be impractical or costly. We propose a deep learning based approach to achieve multi-modal continuous resolution wind data prediction from discontinuous wind data, along with data dimensionality reduction.","Tue, 30 Jan 2024 12:03:40 UTC (8,839 KB)"
"62","Application of Methods of Artificial Intelligence in Systems for Continuous Automatic Monitoring of Dust Concentration and Deposits in Mine Atmosphere","Daria Trubicina, Kirill Varnavskiy, Alexander Ermakov, Fedor Nepsha, Roman Kozlov, Naser Golsanami, Sergey Zhironkin","Systems and Control (eess.SY)","With the growth of coal production, the load on the production capacity of coal enterprises also increases, which leads to a concomitant increase in dust formation in both opencast and underground methods of mining coal deposits. Dust, generated during drilling, blasting operations, excavation, loading, crushing and transportation of mined rock is one of the factors that has a negative impact on the health of mining workers and on the level of environmental pollution with solid particles. Thus, increasing the efficiency of controlling the concentration of solid particles in the mine atmosphere and dust deposits is an urgent scientific and technical task. In doing so, the use of modern digital technologies within the framework of the industry 4.0 concept makes it possible to develop approaches that can significantly improve the quality of monitoring the state of the mine atmosphere at coal mining enterprises. This article provides a theoretical basis and test results for a system for continuous automatic monitoring of dust concentration in a mine atmosphere as the component of the multifunctional coal mine safety system. It is shown that monitoring the state of mine workings aerological safety can be carried out in real time through the system of the new generation using artificial intelligence. The ability of the proposed system to measure basic physical parameters affecting dust deposition (disperse composition, air humidity, dust concentration and air flow velocity) is noted.","Tue, 30 Jan 2024 09:02:11 UTC (374 KB)"
"63","The Carbon Premium: Correlation or Causation? Evidence from S&P 500 Companies","Namasi G. Sankar, Suryadeepto Nag, Siddhartha P. Chakrabarty, Sankarshan Basu","Pricing of Securities (q-fin.PR)","In the context of whether investors are aware of carbon-related risks, it is often hypothesized that there may be a carbon premium in the value of stocks of firms, conferring an abnormal excess value to firms' shares as a form of compensation to investors for their transition risk exposure through the ownership of carbon instensive stocks. However, there is little consensus in the literature regarding the existence of such a premium. Moreover few studies have examined whether the correlation that is often observed is actually causal. The pertinent question is whether more polluting firms give higher returns or do firms with high returns have less incentive to decarbonize? In this study, we investigate whether firms' emissions is causally linked to the presence of a carbon premium in a panel of 141 firms listed in the S\&P500 index using fixed-effects analysis, with propensity score weighting to control for selection bias in which firms increase their emissions. We find that there is a statistically significant positive carbon premium associated with Scope 1 emissions, while there is no significant premium associated with Scope 2 emissions, implying that risks associated with direct emissions by the firm are priced, while bought emissions are not.","Mon, 29 Jan 2024 08:32:10 UTC (245 KB)"
"64","The geometric error is less than the pollution error when solving the high-frequency Helmholtz equation with high-order FEM on curved domains","Théophile Chaumont-Frelet, Euan A. Spence","Numerical Analysis (math.NA)","We consider the $h$-version of the finite-element method, where accuracy is increased by decreasing the meshwidth $h$ while keeping the polynomial degree $p$ constant, applied to the Helmholtz equation. Although the question ""how quickly must $h$ decrease as the wavenumber $k$ increases to maintain accuracy?"" has been studied intensively since the 1990s, none of the existing rigorous wavenumber-explicit analyses take into account the approximation of the geometry. In this paper we prove that for nontrapping problems solved using straight elements the geometric error is order $kh$, which is then less than the pollution error $k(kh)^{2p}$ when $k$ is large; this fact is then illustrated in numerical experiments. More generally, we prove that, even for problems with strong trapping, using degree four (in 2-d) or degree five (in 3-d) polynomials and isoparametric elements ensures that the geometric error is smaller than the pollution error for most large wavenumbers.","Mon, 29 Jan 2024 18:50:24 UTC (32 KB)"
